Brand,Make,Year,Mileage,Engine_Size,Transmission,Seats,Body_Type,Colour,Drive_Type,Registration,Previous_Owners,Keys,Emissions,ULEZ_Exempt,Top_speed,Accelaration_0_62,Power,Tax,Insurance,Mpg,Service_record,Price
Toyota,AYGO,2018,22406,1.0,Manual,4,5 door Hatchback,White,Front wheel drive,SK18 KHZ,3,2,95g/km (band E),1,99,14.2,67.0,£165 / year,7,68.9,4,7750
Ford,Ka,2016,12784,1.2,Manual,4,3 door Hatchback,Black,Front wheel drive,YK16 VDE,1,2,115g/km (band C),1,99,13.4,68.0,Not available,5,57.7,2,7800
Kia,Picanto,2016,46372,1.2,Manual,5,5 door Hatchback,White,Front wheel drive,NJ66 NZE,2,2,106g/km (band B),1,109,11.5,85.0,Not available,5,61.4,2,7800
Toyota,AYGO,2018,40131,1.0,Manual,4,5 door Hatchback,Red,Front wheel drive,KY18 UUR,2,2,95g/km (band E),1,99,14.2,67.0,Not available,7,68.9,2,7800
Vauxhall,Meriva,2017,15480,1.4,Manual,5,5 door MPV,White,Front wheel drive,RE67 HKK,4,2,140g/km (band H),1,110,14.0,99.0,Not available,8,47.1,4,7800
Volkswagen,Polo,2017,91929,1.4,Manual,5,5 door Hatchback,Silver,Front wheel drive,GV66 ZFX,1,1,88g/km (band A),1,107,12.9,74.0,Not available,1,74.3,6,7800
Seat,Ibiza,2017,93131,1.0,Manual,5,4 door Hatchback,Grey,Front wheel drive,NA67 TOH,1,2,106g/km (band F),1,113,10.9,94.0,£165 / year,8,60.1,6,7850
Vauxhall,Corsa,2015,41752,1.2,Manual,5,5 door Hatchback,Grey,Front wheel drive,SJ65 XSR,3,2,124g/km (band D),1,101,16.0,69.0,£135 / year,3,53.3,8,7900
Toyota,AYGO,2018,28396,1.0,Manual,4,5 door Hatchback,White,Front wheel drive,EY18 XXH,2,2,95g/km (band E),1,99,14.2,67.0,Not available,7,68.9,0,7900
Vauxhall,Corsa,2017,34035,1.4,Manual,5,3 door Hatchback,Red,Front wheel drive,DX67 WRK,2,2,119g/km (band G),1,115,11.0,99.0,£165 / year,1,55.4,5,7900
Hyundai,i10,2018,20518,1.0,Manual,5,5 door Hatchback,White,Front wheel drive,EN67 KWJ,2,2,108g/km (band F),1,96,14.7,65.0,£165 / year,2,60.1,4,7900
Dacia,Sandero,2017,22289,1.0,Manual,5,5 door Hatchback,Pearl Black,Front wheel drive,GF67 UBX,1,2,117g/km (band G),1,98,14.2,74.0,Not available,4,54.3,5,7950
Seat,Ibiza,2017,95032,1.0,Manual,5,5 door Hatchback,Grey,Front wheel drive,NA67 TPU,1,2,106g/km (band F),1,113,10.9,94.0,Not available,8,60.1,6,7950
Fiat,500,2017,36693,1.2,Manual,4,3 door Hatchback,Bossa Nova White,Front wheel drive,WM17 KCV,2,2,110g/km (band F),1,99,12.9,69.0,Not available,8,60.1,3,7950
Toyota,AYGO,2017,30642,1.0,Manual,4,5 door Hatchback,Red,Front wheel drive,NA67 DFV,2,2,95g/km (band E),1,99,14.2,67.0,£165 / year,7,68.9,0,7950
Seat,Ibiza,2016,44403,1.0,Manual,5,5 door Hatchback,White,Front wheel drive,YX66 WSZ,3,2,118g/km (band C),1,107,14.3,74.0,£30 / year,8,54.3,2,7950
Skoda,Citigo,2016,12548,1.0,Manual,4,3 door Hatchback,Red,Front wheel drive,AD16 CDF,2,2,105g/km (band B),1,99,14.4,59.0,£20 / year,2,62.8,3,8000
DS,DS 3,2015,32779,1.6,Manual,5,3 door Hatchback,Black,Front wheel drive,KS65 BKO,2,2,87g/km (band A),1,117,10.8,99.0,£0 / year,2,83.1,4,8000
Citroen,C4,2016,45377,1.6,Manual,5,5 door Hatchback,White,Front wheel drive,MM16 XFJ,2,2,95g/km (band A),1,111,11.5,99.0,Not available,2,78.5,4,8000
Dacia,Sandero,2019,12292,1.0,Manual,5,5 door Hatchback,Glacier White,Front wheel drive,KP19 NHB,2,2,120g/km (band G),1,98,15.2,74.0,Not available,5,48.7,0,8000
Vauxhall,Corsa,2015,32359,1.4,Manual,5,5 door Hatchback,Black,Front wheel drive,SV65 XLG,4,2,122g/km (band D),1,109,13.2,89.0,Not available,7,54.3,4,8000
Fiat,500,2016,28552,1.2,Manual,4,3 door Hatchback,Pasodoble Red,Front wheel drive,YC66 ZSX,2,2,110g/km (band B),1,99,12.9,69.0,£20 / year,8,60.1,4,8000
Hyundai,i10,2017,25597,1.2,Manual,5,5 door Hatchback,Blue,Front wheel drive,EG17 LLM,2,2,114g/km (band G),1,109,12.1,86.0,£165 / year,7,57.7,2,8000
Renault,Twingo,2016,27820,0.9,Manual,4,5 door Hatchback,Blaze Orange,Rear wheel drive,PJ66 RNU,3,2,99g/km (band A),1,103,10.8,89.0,£0 / year,8,65.7,0,8050
Smart,fortwo,2017,20268,1.0,Manual,2,2 door Coupe,Red,Rear wheel drive,WR17 ORJ,3,2,93g/km (band E),1,94,14.4,70.0,Not available,3,68.9,3,8050
DS,DS 3,2016,34515,1.2,Manual,5,3 door Hatchback,Grey,Front wheel drive,MC16 HKA,2,2,100g/km (band A),1,118,9.6,108.0,Not available,1,65.7,6,8050
Peugeot,208,2016,27274,1.2,Manual,5,5 door Hatchback,White,Front wheel drive,KO16 KAJ,3,2,104g/km (band B),1,111,12.2,81.0,Not available,1,62.8,5,8050
Dacia,Sandero Stepway,2016,30803,0.9,Manual,5,5 door Hatchback,Glacier White,Front wheel drive,ST66 BHA,2,2,115g/km (band C),1,104,11.1,89.0,£30 / year,9,55.4,0,8050
Volkswagen,up!,2016,25588,1.0,Manual,4,3 door Hatchback,Blue,Front wheel drive,WH16 JKJ,4,2,101g/km (band B),1,107,13.2,74.0,£20 / year,5,64.2,6,8050
Vauxhall,Mokka,2015,41717,1.6,Manual,5,5 door SUV,Blue,Front wheel drive,YA65 EYZ,3,2,114g/km (band C),1,119,9.9,134.0,£30 / year,1,65.7,6,8050
Hyundai,i10,2018,28172,1.0,Manual,5,5 door Hatchback,White,Front wheel drive,YR18 EOY,2,2,108g/km (band F),1,96,14.7,65.0,Not available,2,60.1,4,8050
Peugeot,108,2017,12679,1.0,Manual,4,5 door Hatchback,Blue,Front wheel drive,GC17 AWO,1,2,95g/km (band E),1,99,13.0,67.0,£165 / year,6,68.9,0,8100
Vauxhall,Viva,2017,10426,1.0,Manual,5,5 door Hatchback,Silver,Front wheel drive,PN17 NTV,1,2,104g/km (band B),1,106,13.1,74.0,£20 / year,4,62.8,3,8100
Fiat,Panda,2018,13237,1.2,Manual,4,5 door Hatchback,Breakcore Red,Front wheel drive,GM18 AYW,3,2,119g/km (band G),1,99,14.8,69.0,Not available,4,55.4,4,8100
Hyundai,i10,2016,10932,1.0,Manual,5,5 door Hatchback,White,Front wheel drive,MF66 YJG,1,2,108g/km (band B),1,96,14.9,65.0,Not available,1,60.1,6,8100
Fiat,500,2018,21572,1.2,Manual,4,3 door Hatchback,Bossa Nova White,Front wheel drive,HF68 FCU,1,2,124g/km (band G),1,101,12.9,69.0,£165 / year,7,46.3,5,8150
Vauxhall,Astra,2016,41361,1.6,Manual,5,5 door Hatchback,Silver,Front wheel drive,LP65 CEY,3,2,152g/km (band G),1,118,,113.0,£220 / year,1,43.5,6,8150
Ford,Fiesta,2015,52356,1.0,Manual,5,3 door Hatchback,Blue,Front wheel drive,BN65 UAU,3,2,99g/km (band A),1,122,14.9,123.0,£0 / year,1,65.7,0,8150
Vauxhall,Corsa,2016,35781,1.4,Manual,5,5 door Hatchback,Red,Front wheel drive,SA16 KVG,3,2,118g/km (band C),1,101,,74.0,Not available,3,55.4,0,8150
Seat,Ibiza,2017,79902,1.0,Manual,5,5 door Hatchback,Black,Front wheel drive,NA67 OCB,1,2,106g/km (band F),1,113,10.9,94.0,£165 / year,8,60.1,5,8150
Ford,Fiesta,2017,53114,1.0,Manual,5,5 door Hatchback,Grey,Front wheel drive,MM66 GHY,2,2,99g/km (band A),1,112,14.9,99.0,£0 / year,1,65.7,4,8150
Skoda,Citigo,2017,21391,1.0,Manual,4,5 door Hatchback,White,Front wheel drive,NL17 HTT,2,2,101g/km (band B),1,100,14.4,59.0,£20 / year,2,64.2,0,8150
Toyota,AYGO,2018,13251,1.0,Manual,4,3 door Hatchback,Red,Front wheel drive,NX18 GHK,1,2,95g/km (band E),1,99,14.2,67.0,Not available,6,68.9,3,8150
Vauxhall,Meriva,2017,36826,1.4,Manual,5,5 door MPV,Silver,Front wheel drive,CV17 YKS,2,2,139g/km (band H),1,117,11.5,118.0,Not available,1,47.9,4,8150
Hyundai,i10,2018,18317,1.0,Manual,5,5 door Hatchback,White,Front wheel drive,EJ68 OFN,2,2,117g/km (band G),1,97,14.7,66.0,Not available,2,50.4,2,8150
Nissan,Micra,2018,56974,0.9,Manual,5,5 door Hatchback,Silver,Front wheel drive,FE18 LBY,2,2,99g/km (band E),1,109,12.1,89.0,Not available,5,64.2,4,8150
Vauxhall,Corsa,2016,24747,1.4,Manual,5,5 door Hatchback,Red,Front wheel drive,DX16 LVF,1,2,118g/km (band C),1,109,13.2,89.0,Not available,6,55.4,6,8150
Renault,Clio,2016,49442,1.5,Manual,5,5 door Hatchback,Diamond Black,Front wheel drive,HT16 VAM,5,2,85g/km (band A),1,112,11.9,90.0,£0 / year,1,85.6,3,8150
Suzuki,Baleno,2016,26787,1.0,Manual,5,5 door Hatchback,White,Front wheel drive,FT66 HWZ,2,1,103g/km (band B),1,125,11.4,109.0,£20 / year,1,64.2,4,8200
MG,MG3,2018,17324,1.5,Manual,5,5 door Hatchback,White,Front wheel drive,BC18 UBF,2,2,124g/km (band G),1,108,10.9,105.0,Not available,4,51.4,0,8200
Fiat,Panda,2014,44289,0.9,Manual,4,5 door Hatchback,Ambient White,Four wheel drive,YH64 FMV,4,2,114g/km (band C),1,103,12.1,85.0,Not available,7,57.7,6,8200
Fiat,Panda,2018,21517,1.2,Manual,4,5 door Hatchback,Breakcore Red,Front wheel drive,LP18 VSK,3,2,119g/km (band G),1,99,14.8,69.0,£165 / year,7,55.4,3,8200
Skoda,Citigo,2018,7467,1.0,Manual,4,3 door Hatchback,Red,Front wheel drive,LA18 XDM,1,1,101g/km (band F),1,100,14.4,59.0,Not available,2,64.2,0,8200
Renault,Clio,2016,49013,1.1,Manual,5,5 door Hatchback,Diamond Black,Front wheel drive,CF16 KXM,1,2,127g/km (band D),1,103,14.5,74.0,Not available,4,51.4,0,8250
Vauxhall,Corsa,2016,38378,1.4,Manual,5,5 door Hatchback,Grey,Front wheel drive,LP16 TBZ,2,2,118g/km (band C),1,109,13.2,89.0,£30 / year,6,55.4,5,8250
DS,DS 3,2016,47310,1.6,Manual,5,3 door Hatchback,Black,Front wheel drive,GJ66 OHF,3,2,87g/km (band A),1,117,10.8,99.0,Not available,2,83.1,6,8250
Toyota,AYGO,2019,43760,1.0,Manual,4,5 door Hatchback,Red,Front wheel drive,YS19 JKK,1,2,93g/km (band E),1,99,14.2,70.0,£165 / year,8,56.5,0,8250
Toyota,AYGO,2018,15156,1.0,Manual,4,5 door Hatchback,White,Front wheel drive,WR18 MBF,2,2,95g/km (band E),1,99,14.2,70.0,£165 / year,7,68.9,2,8250
Kia,Picanto,2019,8449,1.0,Manual,5,5 door Hatchback,Blue,Front wheel drive,WN19 GKA,3,2,113g/km (band G),1,100,14.3,66.0,£165 / year,4,50.4,3,8250
Vauxhall,Viva,2017,5039,1.0,Manual,5,5 door Hatchback,Purple,Front wheel drive,DE17 OCV,3,2,104g/km (band B),1,106,13.1,74.0,Not available,4,62.8,4,8300
Suzuki,Swift,2017,34250,1.2,Manual,4,3 door Hatchback,Grey,Front wheel drive,DE17 DWN,3,1,116g/km (band C),1,103,12.3,93.0,£30 / year,1,56.5,4,8300
Citroen,C4,2016,37129,1.2,Manual,5,5 door Hatchback,Red,Front wheel drive,AP16 HCL,3,2,107g/km (band B),1,124,10.8,128.0,£20 / year,1,60.1,5,8300
Toyota,AYGO,2017,22274,1.0,Manual,4,5 door Hatchback,Red,Front wheel drive,FM17 XJO,2,2,95g/km (band E),1,99,14.2,67.0,Not available,7,68.9,2,8300
Seat,Mii,2019,14989,1.0,Manual,4,5 door Hatchback,Black,Front wheel drive,YO19 SVZ,2,1,96g/km (band E),1,100,14.4,59.0,£165 / year,3,53.3,3,8300
Vauxhall,Insignia,2016,56706,1.6,Manual,5,5 door Hatchback,White,Front wheel drive,DU16 ULZ,4,2,109g/km (band B),1,127,,134.0,Not available,1,68.9,6,8350
Vauxhall,Astra,2016,52951,1.4,Manual,5,5 door Hatchback,Silver,Front wheel drive,DV66 MLJ,2,2,124g/km (band D),1,127,8.6,123.0,Not available,1,52.3,2,8350
Toyota,AYGO,2016,36585,1.0,Manual,4,5 door Hatchback,Grey,Front wheel drive,DC66 KSJ,2,1,95g/km (band A),1,99,14.2,67.0,£0 / year,8,68.9,4,8350
Toyota,AYGO,2018,25509,1.0,Manual,4,5 door Hatchback,Red,Front wheel drive,AJ18 FMK,2,2,95g/km (band E),1,99,14.2,70.0,Not available,7,68.9,2,8350
Toyota,AYGO,2018,6543,1.0,Manual,4,3 door Hatchback,Red,Front wheel drive,NK18 MDN,1,2,95g/km (band E),1,99,14.2,67.0,£165 / year,7,68.9,2,8350
Ford,Fiesta,2016,37192,1.2,Manual,5,5 door Hatchback,Yellow,Front wheel drive,EJ66 MLZ,2,2,122g/km (band D),1,104,13.3,81.0,£135 / year,7,54.3,5,8350
Vauxhall,Corsa,2018,29689,1.4,Manual,5,5 door Hatchback,Black,Front wheel drive,DU18 FSZ,3,2,120g/km (band G),1,109,13.2,89.0,Not available,6,54.3,5,8350
Fiat,500,2017,41650,1.2,Manual,4,3 door Hatchback,Bossa Nova White,Front wheel drive,WR17 XLK,2,2,110g/km (band B),1,99,12.9,69.0,Not available,8,60.1,0,8400
Nissan,Juke,2016,70512,1.5,Manual,5,5 door SUV,Silver,Front wheel drive,KS65 YHJ,3,2,104g/km (band B),1,109,11.2,108.0,Not available,1,70.6,4,8400
Renault,Clio,2015,31155,0.9,Manual,5,5 door Hatchback,diamond black,Front wheel drive,SC65 KRG,2,2,104g/km (band B),1,113,12.2,89.0,£20 / year,1,61.4,3,8400
Fiat,Tipo,2017,18587,1.4,Manual,5,5 door Hatchback,Elba Blue,Front wheel drive,PK17 VFC,3,2,132g/km (band E),1,115,,94.0,£165 / year,7,49.6,6,8400
Ford,Fiesta,2016,58590,1.0,Manual,5,3 door Hatchback,Black,Front wheel drive,CE66 PZV,4,2,104g/km (band B),1,125,9.0,138.0,Not available,1,62.8,7,8400
Vauxhall,Corsa,2017,30562,1.4,Manual,5,5 door Hatchback,Red,Front wheel drive,OU17 OJE,3,2,118g/km (band C),1,101,,74.0,Not available,3,55.4,5,8400
Vauxhall,Corsa,2018,27750,1.4,Manual,5,3 door Hatchback,Red,Front wheel drive,EG18 WKW,2,2,130g/km (band G),1,109,13.2,89.0,Not available,7,43.5,4,8400
Toyota,AYGO,2017,17082,1.0,Manual,4,5 door Hatchback,White,Front wheel drive,YE67 JUO,2,2,95g/km (band E),1,99,14.2,67.0,£165 / year,7,68.9,5,8400
Suzuki,Celerio,2018,3361,1.0,Manual,5,5 door Hatchback,White,Front wheel drive,EO68 UUM,2,2,99g/km (band E),1,97,13.5,67.0,Not available,7,65.7,0,8450
Fiat,500,2018,14218,1.2,Manual,4,3 door Hatchback,Tech House Grey,Front wheel drive,NK68 LSF,1,2,124g/km (band G),1,101,12.9,69.0,£165 / year,7,46.3,4,8450
Toyota,AYGO,2017,43843,1.0,Manual,4,5 door Hatchback,White,Front wheel drive,PE67 EFJ,3,2,95g/km (band E),1,99,14.2,67.0,£165 / year,7,68.9,4,8450
Dacia,Sandero,2020,7388,1.0,Manual,5,5 door Hatchback,Pearl Black,Front wheel drive,VO20 XJT,1,2,116g/km (band G),1,98,15.1,74.0,£165 / year,5,48.7,2,8450
Renault,Captur,2016,41786,1.5,Manual,5,5 door SUV,Arizona,Front wheel drive,GC16 JWP,2,2,95g/km (band A),1,106,13.1,89.0,Not available,1,78.5,2,8450
Toyota,AYGO,2016,14411,1.0,Manual,4,5 door Hatchback,Yellow,Front wheel drive,MC16 KYO,2,2,95g/km (band A),1,99,14.2,67.0,£0 / year,7,68.9,6,8450
